,versionCreated,text,storyId,sourceCode,Polarity,Subjectivity,Score
2020-03-18 22:57:09.446,2020-03-18 22:57:09.446,Australia Stock Exchange release from ENGENCO <EGN.AX>: COVID-19 pandemic update,urn:newsml:reuters.com:20200318:nAZN006WAX:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:55:41.000,2020-03-18 22:55:41.000,"RPT-BORAL- GIVEN HIGH LEVEL OF UNCERTAINTY REGARDING SPREAD & DURATION OF COVID-19, NEGATIVE IMPACT ON FY2020 EARNINGS CANNOT BE ESTIMATED AT THIS POINT",urn:newsml:reuters.com:20200318:nL8N2BBAB0:6,NS:RTRS,-0.0832051282051282,0.26397435897435895,negative
2020-03-18 22:55:40.000,2020-03-18 22:55:40.000,RPT-BORAL LTD-WITHDRAWS FY2020 EARNINGS GUIDANCE DUE TO COVID-19,urn:newsml:reuters.com:20200318:nL8N2BBAB0:3,NS:RTRS,-0.0832051282051282,0.26397435897435895,negative
2020-03-18 22:54:33.420,2020-03-18 22:54:33.420,MGC PHARMACEUTICALS -SEEKS TRADING HAL PENDING ANNOUNCEMENT ON AGREEMENT REGARDING STRATEGIC JV  WITH SWISS CO IN RELATION TO COVID-19,urn:newsml:reuters.com:20200318:nFWN2BB1PK:1,NS:RTRS,0.25,1.0,positive
2020-03-18 22:52:51.000,2020-03-18 22:52:51.000,BRIEF-Pioneer Credit Says Difficult To Accurately Assess Possible Impact Of Covid-19 Virus On Pioneer's Operations,urn:newsml:reuters.com:20200318:nFWN2BB1NJ:1,NS:RTRS,0.2166666666666667,0.8777777777777778,positive
2020-03-18 22:51:24.458,2020-03-18 22:51:24.458,Australia Stock Exchange release from ICOLLEGE <ICT.AX>: COVID-19 update response and forward planning,urn:newsml:reuters.com:20200318:nAZN006WB5:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:48:33.853,2020-03-18 22:49:33.643,"ECB SAYS  THE GOVERNING COUNCIL WILL TERMINATE NET ASSET PURCHASES UNDER PEPP ONCE IT JUDGES THAT THE CORONAVIRUS COVID-19 CRISIS PHASE IS OVER, BUT IN ANY CASE NOT BEFORE THE END OF THE YEAR",urn:newsml:reuters.com:20200318:nF9N29R015:17,NS:RTRS,-0.01338383838383838,0.3255050505050505,neutral
2020-03-18 22:43:04.746,2020-03-18 22:43:04.746,ACCENT GROUP LTD - HAS FELT IMPACT OF COVID-19 OUTBREAK AND UNPRECEDENTED AND UNCERTAIN CONDITIONS IT HAS CREATED,urn:newsml:reuters.com:20200318:nFWN2BB1NU:1,NS:RTRS,0.21071428571428572,0.4630952380952381,positive
2020-03-18 22:42:44.170,2020-03-18 22:42:44.170,Australia Stock Exchange release from ACCENT GROUP <AX1.AX>: COVID-19 Trading Update,urn:newsml:reuters.com:20200318:nAZN006W6G:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:41:49.393,2020-03-18 22:41:49.393,Australia Stock Exchange release from HARVEY NORMAN HO <HVN.AX>: Update on Covid-19,urn:newsml:reuters.com:20200318:nAZN006W6I:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:40:53.000,2020-03-18 22:40:53.000,BRIEF-Southwest Gas Holdings -  Will Continue Normal Hours Of Business Operations During Covid-19 Pandemic,urn:newsml:reuters.com:20200318:nFWN2BB1LR:1,NS:RTRS,0.13333333333333333,0.6833333333333332,positive
2020-03-18 22:40:40.000,2020-03-18 22:40:40.000,BRIEF-Interfor Announces Initiatives To Address Prevailing Covid-19 Environment,urn:newsml:reuters.com:20200318:nFWN2BB1PE:1,NS:RTRS,-0.06428571428571428,0.39999999999999997,negative
2020-03-18 22:38:40.000,2020-03-18 22:38:40.000,BRIEF-General Mills Expects Negative Impact To Sales For At Least Remainder Of 2020 Due To Covid-19,urn:newsml:reuters.com:20200318:nFWN2BB1MJ:1,NS:RTRS,-0.1729166666666667,0.5499999999999999,negative
2020-03-18 22:24:15.000,2020-03-18 22:38:18.000,BRIEF-Canadian province Alberta defers corporate tax collection due to COVID-19,urn:newsml:reuters.com:20200318:nL1N2BB1V1:1,NS:RTRS,0.125,0.5,positive
2020-03-18 22:38:14.000,2020-03-18 22:38:14.000,"BRIEF-Office Depot Says Restricted Business Travel, Instructed Remote Enabled Associates To Work From Home In Response To Covid-19",urn:newsml:reuters.com:20200318:nFWN2BB1DV:1,NS:RTRS,0.006249999999999999,0.46875,neutral
2020-03-18 22:38:13.318,2020-03-18 22:38:13.318,TITOMIC LTD-TITOMIC HAS EXPERIENCED LITTLE TO NO DISRUPTION TO OUR OPERATIONS IN LIGHT OF COVID-19 PANDEMIC,urn:newsml:reuters.com:20200318:nFWN2BB1PG:1,NS:RTRS,0.31562500000000004,0.7749999999999999,positive
2020-03-18 22:37:45.893,2020-03-18 22:37:51.068,"ADAIRS - GIVEN ONGOING UNCERTAINTY OF DURATION & IMPACT OF COVID-19 PANDEMIC, CO CONSIDERS IT APPROPRIATE TO WITHDRAW ITS FY20 EARNINGS GUIDANCE",urn:newsml:reuters.com:20200318:nFWN2BB1LU:2,NS:RTRS,0.1875,0.75,positive
2020-03-18 22:37:23.934,2020-03-18 22:37:23.934,Australia Stock Exchange release from ADAIRS <ADH.AX>: ADH Covid-19 Update,urn:newsml:reuters.com:20200318:nAZN006W6S:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:35:41.000,2020-03-18 22:35:41.000,BRIEF-Roivant Announces Development Of Anti-GM-Csf Monoclonal Antibody To Treat ARDS In Patients With Covid-19,urn:newsml:reuters.com:20200318:nFWN2BB1MI:1,NS:RTRS,0.16999999999999998,0.48,positive
2020-03-18 22:35:22.000,2020-03-18 22:35:22.000,BRIEF-Air Canada Provides Update On Ongoing Covid-19 Response,urn:newsml:reuters.com:20200318:nFWN2BB1LL:1,NS:RTRS,0.0,0.3,neutral
2020-03-18 22:35:16.967,2020-03-18 22:35:16.967,PROSPA GROUP LTD - UNCERTAINTY DUE TO SPREAD OF COVID-19 LEADS PROSPA TO WITHDRAW FY20 GUIDANCE,urn:newsml:reuters.com:20200318:nFWN2BB1NS:1,NS:RTRS,0.18611111111111112,0.7027777777777778,positive
2020-03-18 22:34:54.363,2020-03-18 22:34:54.363,Australia Stock Exchange release from PROSPA GRP <PGL.AX>: PGL COVID-19 Update,urn:newsml:reuters.com:20200318:nAZN006W6Y:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:34:47.000,2020-03-18 22:34:47.000,BRIEF-Pizza Pizza Royalty Says Covid-19 Negatively Affected Royalty Pool System Sales,urn:newsml:reuters.com:20200318:nFWN2BB1LK:1,NS:RTRS,-0.024999999999999994,0.7,neutral
2020-03-18 22:34:32.000,2020-03-18 22:34:32.000,BRIEF-David's Bridal Provides Covid-19 Business Update,urn:newsml:reuters.com:20200318:nFWN2BB1LT:1,NS:RTRS,0.25,1.0,positive
2020-03-18 22:34:26.000,2020-03-18 22:34:26.000,BRIEF-ICE Says A Member Of Trading Floor Community & A NYSE Employee Tested Positive For Covid-19,urn:newsml:reuters.com:20200318:nFWN2BB1P6:1,NS:RTRS,0.1331168831168831,0.45281385281385284,positive
2020-03-18 22:34:09.895,2020-03-18 22:34:09.895,Australia Stock Exchange release from TITOMIC <TTT.AX>: Titomic Statement Regarding COVID-19,urn:newsml:reuters.com:20200318:nAZN006W70:1,NS:RTRS,0.0,0.0,neutral
2020-03-18 22:32:47.574,2020-03-18 22:33:29.065,CASTILE RESOURCES LTD-RESPONDS TO COVID-19 VIRUS TRAVEL RESTRICTIONS IN NORTHERN TERRITORY,urn:newsml:reuters.com:20200318:nFWN2BB1NR:3,NS:RTRS,0.205,0.5549999999999999,positive
2020-03-18 22:33:17.000,2020-03-18 22:33:17.000,BRIEF-Align Technology -  Anticipate Business Disruptions Will Continue To Expand If Covid-19 Outbreak Intensifies Globally,urn:newsml:reuters.com:20200318:nFWN2BB1MG:1,NS:RTRS,-0.12777777777777777,0.42777777777777776,negative
2020-03-18 22:32:48.798,2020-03-18 22:32:48.798,INTERFOR ANNOUNCES INITIATIVES TO ADDRESS PREVAILING COVID-19 ENVIRONMENT,urn:newsml:reuters.com:20200318:nFWN2BB1PE:1,NS:RTRS,-0.06428571428571428,0.39999999999999997,negative
